,Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items,coords,Longitude,Latitude
0,Damen Lake Property LLC (Standard Equipment Co),2033 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2001-02-01T00:00:00.000,83013.0,41506.5,"Truck dock, Skylights, Roof","[41.884892, -87.676659]",-87.676659,41.884892
1,Northern Greenhouses Inc,1756 W Lake,Kinzie Industrial Corridor Industrial Corridor,2001-02-08T00:00:00.000,125000.0,50000.0,New Roof,"[41.8854708, -87.67201089999999]",-87.67201089999999,41.8854708
2,Roger Berman Co,832 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,2001-10-02T00:00:00.000,98336.7,49168.35,HVAC / Elevator renovate / tuckpointing.,"[41.886912, -87.64895]",-87.64895,41.886912
3,Moylan Insurance Agency,3301-05 W 111th,111th/Kedzie,2001-10-18T00:00:00.000,21718.75,10859.38,Roof / Sign removal / Awnings,"[41.6923837, -87.6977345]",-87.6977345,41.6923837
4,Mt Greenwood Local Redevelopment Corp,3255-3257 W 111th,111th/Kedzie,2001-11-08T00:00:00.000,33149.75,16574.87,Window-Door Replace / masonry / sign removal / awnings / exterior lighting / HVAC,"[41.6895584, -87.7136513]",-87.7136513,41.6895584
5,Consolidated Chemical Works,400 N Ashland,Kinzie Industrial Corridor Industrial Corridor,2001-11-15T00:00:00.000,27528.0,13764.0,Tuckpointing and roof repair / replacement.,"[41.889213, -87.667621]",-87.667621,41.889213
6,Marco Lighting Components Inc,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,2002-01-04T00:00:00.000,104552.0,50000.0,Gutter-flashing. Roof / Tuckpointing / Electrical / Emergency lighting,"[41.8901249, -87.6814437]",-87.6814437,41.8901249
7,Value Transmission Inc,5434 W Higgins,Jefferson Park,2002-01-04T00:00:00.000,96771.0,48385.5,"Tuckpointing, Facade, Window replacement, Front door, Roof, Sign","[42.0311029, -87.7471224]",-87.7471224,42.0311029
8,American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2002-02-25T00:00:00.000,46118.0,19061.0,Roof repair/ tuckpointing/ sign,"[41.8902592, -87.6838186]",-87.6838186,41.8902592
9,Building Blocks Inc,1621 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2002-02-25T00:00:00.000,38633.4,19316.7,Tuckpointing/ Renovation of washroom,"[41.8963356, -87.6683413]",-87.6683413,41.8963356
10,CLOSED,11125 S Kedzie,111th/Kedzie,2002-05-23T00:00:00.000,88864.0,47634.0,Masonry / Floor Replacement / Plumbing / HVAC / Roof / Retail space remodel,"[41.6907902, -87.7005665]",-87.7005665,41.6907902
11,Goose Island Beer Co,1800 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2002-05-28T00:00:00.000,95000.0,50000.0,Concrete/ excavation/ brickyard/ door/ electrical/ plumbing,"[41.8870971, -87.67211830000001]",-87.67211830000001,41.8870971
12,Flat Enterprises Inc dba Alliance Paper & Food Service,913 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2002-10-01T00:00:00.000,70405.5,34884.0,Facade / Roof / Sign replacement / Window & Door Replacement,"[41.8638132, -87.6658478]",-87.6658478,41.8638132
13,La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,2002-10-01T00:00:00.000,97974.19,45496.44,Interior Rehab / Awning / Tuckpoint-Masonry / Electrical Rehab.,"[41.6914171, -87.7042281]",-87.7042281,41.6914171
14,Copernicus Foundation,5216 W Lawrence,Jefferson Park,2003-01-01T00:00:00.000,100000.0,50000.0,renovations,"[41.9683489, -87.75895799999999]",-87.75895799999999,41.9683489
15,Gleason & Shreffler,4653 N Milwaukee,Jefferson Park,2003-03-14T00:00:00.000,100000.0,50000.0,HVAC / Interior Rehab / Facade Renovation,"[41.9654231, -87.75832919999999]",-87.75832919999999,41.9654231
16,The Wooden Spoon,5047 N Clark,Clark/Montrose,2003-04-24T00:00:00.000,100000.0,50000.0,Facade / Roof / HVAC / Tuckpoint,"[41.973821, -87.66788299999999]",-87.66788299999999,41.973821
17,AA US Carpet,4651 N Milwaukee,Jefferson Park,2003-05-28T00:00:00.000,75000.0,24486.68,Tuckpoint-Masonry / Electrical Rehab / Interior Renovation / Roof Renovation / Window and Door Replacement,"[41.9653756, -87.7582307]",-87.7582307,41.9653756
18,Bernacki & Associates Inc,424 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2003-05-30T00:00:00.000,84802.0,42401.0,Sidewalk Improvements / Facade / Lintels / HVAC / Electrical / Roof / Interior Buildout,"[41.8894087, -87.68456309999999]",-87.68456309999999,41.8894087
19,La Donna,5146 N Clark,Clark/Montrose,2003-05-30T00:00:00.000,100000.0,50000.0,Facade / Landscaping-Fence / Interior /,"[41.9757311, -87.668725]",-87.668725,41.9757311
20,Cotton Goods Mfg Co,259 N California,Kinzie Industrial Corridor Industrial Corridor,2003-08-11T00:00:00.000,93210.0,39272.0,"Replace Roof, Windows/ Tuckpointing/ Brickwork/ Possible parking lot + HVAC","[41.8858496, -87.6962942]",-87.6962942,41.8858496
21,MRD Associates Inc,1420 W Hubbard,Kinzie Industrial Corridor Industrial Corridor,2003-09-22T00:00:00.000,135000.0,50000.0,"Facade/Signs, aumins, roof, HVAC, Evn. Remediation/ Storage rack/ public way exterior enhancement","[41.890134, -87.66296799999999]",-87.66296799999999,41.890134
22,Liberty Fastener Company,2950 W Chicago,Kinzie Industrial Corridor Industrial Corridor,2003-10-01T00:00:00.000,100000.0,50000.0,Window Replacement,"[41.97072130000001, -87.94380770000001]",-87.94380770000001,41.97072130000001
23,Cutrone Hair LLC,3118 W 111th,111th/Kedzie,2003-10-20T00:00:00.000,200000.0,50000.0,Floor / Windows / Doors / Signage / Tuckpoint,"[41.6917751, -87.699248]",-87.699248,41.6917751
24,Information Technical Institute,4414 N Clark,Clark/Montrose,2004-02-03T00:00:00.000,68000.0,34726.06,Signage / Roof / HVAC,"[41.9621492, -87.6663203]",-87.6663203,41.9621492
25,Kinzie Industrial Corridor Industrial Development,2033 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2004-02-04T00:00:00.000,100000.0,50000.0,Windows,"[41.8873855, -87.676958]",-87.676958,41.8873855
26,State Farm Insurance,4465 N Milwaukee,Jefferson Park,2004-02-24T00:00:00.000,10000.0,4275.0,Sign,"[41.9622693, -87.7556633]",-87.7556633,41.9622693
27,The Windsor Tavern,4530 N Milwaukee,Jefferson Park,2004-03-02T00:00:00.000,53073.0,26536.5,Facade Renovation / Window and Door Replacement /,"[41.9631726, -87.7569331]",-87.7569331,41.9631726
28,Rangel Rangel & Associates,2332 N Milwaukee,Fullerton/Milwaukee,2004-03-17T00:00:00.000,186000.0,50000.0,Interior Renovation / Extrerior Renovation / Tuckpoint / Roof / Systems,"[41.9235406, -87.69860899999999]",-87.69860899999999,41.9235406
29,Golden Foods,1036 N Kilbourn,Northwest Industrial Corridor,2004-04-06T00:00:00.000,60685.0,30342.5,Tuckpointing / Windows / Skilights / Freezer / HVAC,"[41.8999877, -87.73893179999999]",-87.73893179999999,41.8999877
